Module Code,Module Title,Variant,Module Code and Title,Is module new in 2023,"Add assessment types? coursework, tests, year end exams?","Add PGTA roles e.g. classes, marking?",Add module level?,"Add module core focus e.g. prpogramming, AI/ML, Maths, robotocs eyc?",Add programme module is in?,Add module credit?
COMP0110,MSc Software Systems Engineering Research Project,,COMP0110 MSc Software Systems Engineering Research Project,FALSE,,,,,,
COMP0111,MSc Software Systems Engineering Group Project,,COMP0111 MSc Software Systems Engineering Group Project,FALSE,,,,,,
COMP0113,Virtual Environments,,COMP0113 Virtual Environments,FALSE,,,,,,
COMP0114,Inverse Problems in Imaging,,COMP0114 Inverse Problems in Imaging,FALSE,,,,,,
COMP0118,Computational Modelling for Biomedical Imaging,,COMP0118 Computational Modelling for Biomedical Imaging,FALSE,,,,,,
COMP0119,Acquisition and Processing of 3D Geometry,,COMP0119 Acquisition and Processing of 3D Geometry,FALSE,,,,,,
COMP0120,Numerical Optimisation,,COMP0120 Numerical Optimisation,FALSE,,,,,,
COMP0121,Computational MRI,,COMP0121 Computational MRI,FALSE,,,,,,
COMP0122,"MSc Computer Graphics, Vision and Imaging Project",,"COMP0122 MSc Computer Graphics, Vision and Imaging Project",FALSE,,,,,,
COMP0123,Complex Networks and Web,,COMP0123 Complex Networks and Web,FALSE,,,,,,
COMP0124,Multi-agent Artificial Intelligence,,COMP0124 Multi-agent Artificial Intelligence,FALSE,,,,,,
COMP0127,Robotic Systems Engineering,,COMP0127 Robotic Systems Engineering,FALSE,,,,,,
COMP0128,Robotic Control Theory and Systems,,COMP0128 Robotic Control Theory and Systems,FALSE,,,,,,
COMP0129,"Robotic Sensing, Manipulation and Interaction",,"COMP0129 Robotic Sensing, Manipulation and Interaction",FALSE,,,,,,
COMP0130,Robot Vision and Navigation,,COMP0130 Robot Vision and Navigation,FALSE,,,,,,
COMP0132,MSc Robotics and Computation Dissertation,,COMP0132 MSc Robotics and Computation Dissertation,FALSE,,,,,,
COMP0133,Distributed Systems and Security,,COMP0133 Distributed Systems and Security,FALSE,,,,,,
COMP0135,Professional Practice,,COMP0135 Professional Practice,FALSE,,,,,,
COMP0137,Machine Vision,,COMP0137 Machine Vision,FALSE,,,,,,
COMP0138,Individual Project for Year 4 MEng,,COMP0138 Individual Project for Year 4 MEng,FALSE,,,,,,
COMP0141,Security,,COMP0141 Security,FALSE,,,,,,
COMP0142,Machine Learning for Domain Specialists,,COMP0142 Machine Learning for Domain Specialists,FALSE,,,,,,
COMP0143,Cryptocurrencies,,COMP0143 Cryptocurrencies,FALSE,,,,,,
COMP0145,Research Methods and Making Skills,,COMP0145 Research Methods and Making Skills,FALSE,,,,,,
COMP0146,Entrepreneurship: Theory and Practice for Researchers,,COMP0146 Entrepreneurship: Theory and Practice for Researchers,FALSE,,,,,,
COMP0147,Discrete Mathematics for Computer Scientists,,COMP0147 Discrete Mathematics for Computer Scientists,FALSE,,,,,,
COMP0153,Inclusive Design and Environments,,COMP0153 Inclusive Design and Environments,FALSE,,,,,,
COMP0154,Future Global Technologies for Disability and Development,,COMP0154 Future Global Technologies for Disability and Development,FALSE,,,,,,
COMP0157,Quantum Computation,,COMP0157 Quantum Computation,FALSE,,,,,,
COMP0158,MSc Data Science and Machine Learning Project,,COMP0158 MSc Data Science and Machine Learning Project,FALSE,,,,,,
COMP0159,"MSc Disability, Design and Innovation Dissertation",,"COMP0159 MSc Disability, Design and Innovation Dissertation",FALSE,,,,,,
COMP0160,Perception and Interfaces,,COMP0160 Perception and Interfaces,FALSE,,,,,,
COMP0161,Auditory Computing,,COMP0161 Auditory Computing,FALSE,,,,,,
COMP0162,Advanced Machine Learning in Finance,,COMP0162 Advanced Machine Learning in Finance,FALSE,,,,,,
COMP0163,Blockchain Technologies,,COMP0163 Blockchain Technologies,FALSE,,,,,,
COMP0164,Digital Finance,,COMP0164 Digital Finance,FALSE,,,,,,
COMP0165,Digital Technologies and Business Strategy,,COMP0165 Digital Technologies and Business Strategy,FALSE,,,,,,
COMP0167,Innovation and Strategy in Finance,,COMP0167 Innovation and Strategy in Finance,FALSE,,,,,,
COMP0168,Machine Learning Seminar,,COMP0168 Machine Learning Seminar,FALSE,,,,,,
COMP0169,Machine Learning for Visual Computing,,COMP0169 Machine Learning for Visual Computing,FALSE,,,,,,
